overdose_type,overdose_type_num,deathsper100k,demographic_name,demographic_detail,demographic_detail_num,year,age_group,estimate
all overdoses,0,age_adjusted,total,All persons,0.1,1999,All ages,6.1
all overdoses,0,age_adjusted,total,All persons,0.1,2000,All ages,6.2
all overdoses,0,age_adjusted,total,All persons,0.1,2001,All ages,6.8
all overdoses,0,age_adjusted,total,All persons,0.1,2002,All ages,8.2
all overdoses,0,age_adjusted,total,All persons,0.1,2003,All ages,8.9
all overdoses,0,age_adjusted,total,All persons,0.1,2004,All ages,9.4
all overdoses,0,age_adjusted,total,All persons,0.1,2005,All ages,10.1
all overdoses,0,age_adjusted,total,All persons,0.1,2006,All ages,11.5
all overdoses,0,age_adjusted,total,All persons,0.1,2007,All ages,11.9
all overdoses,0,age_adjusted,total,All persons,0.1,2008,All ages,11.9
all overdoses,0,age_adjusted,total,All persons,0.1,2009,All ages,11.9
all overdoses,0,age_adjusted,total,All persons,0.1,2010,All ages,12.3
all overdoses,0,age_adjusted,total,All persons,0.1,2011,All ages,13.2
all overdoses,0,age_adjusted,total,All persons,0.1,2012,All ages,13.1
all overdoses,0,age_adjusted,total,All persons,0.1,2013,All ages,13.8
all overdoses,0,age_adjusted,total,All persons,0.1,2014,All ages,14.7
all overdoses,0,age_adjusted,total,All persons,0.1,2015,All ages,16.3
all overdoses,0,age_adjusted,total,All persons,0.1,2016,All ages,19.8
all overdoses,0,age_adjusted,total,All persons,0.1,2017,All ages,21.7
all overdoses,0,age_adjusted,gender,Male,2.1,1999,All ages,8.2
all overdoses,0,age_adjusted,gender,Male,2.1,2000,All ages,8.3
all overdoses,0,age_adjusted,gender,Male,2.1,2001,All ages,9.0
all overdoses,0,age_adjusted,gender,Male,2.1,2002,All ages,10.6
all overdoses,0,age_adjusted,gender,Male,2.1,2003,All ages,11.5
all overdoses,0,age_adjusted,gender,Male,2.1,2004,All ages,11.8
all overdoses,0,age_adjusted,gender,Male,2.1,2005,All ages,12.8
all overdoses,0,age_adjusted,gender,Male,2.1,2006,All ages,14.8
all overdoses,0,age_adjusted,gender,Male,2.1,2007,All ages,14.9
all overdoses,0,age_adjusted,gender,Male,2.1,2008,All ages,14.9
all overdoses,0,age_adjusted,gender,Male,2.1,2009,All ages,14.8
all overdoses,0,age_adjusted,gender,Male,2.1,2010,All ages,15.0
all overdoses,0,age_adjusted,gender,Male,2.1,2011,All ages,16.1
all overdoses,0,age_adjusted,gender,Male,2.1,2012,All ages,16.1
all overdoses,0,crude,gender,Male,2.1,2017,All ages,29.0
all overdoses,0,age_adjusted,gender,Male,2.1,2013,All ages,17.0
all overdoses,0,age_adjusted,gender,Male,2.1,2014,All ages,18.3
all overdoses,0,age_adjusted,gender,Male,2.1,2015,All ages,20.8
all overdoses,0,age_adjusted,gender,Male,2.1,2016,All ages,26.2
all overdoses,0,age_adjusted,gender,Male,2.1,2017,All ages,29.1
all overdoses,0,age_adjusted,gender,Female,2.2,1999,All ages,3.9
all overdoses,0,age_adjusted,gender,Female,2.2,2000,All ages,4.1
all overdoses,0,age_adjusted,gender,Female,2.2,2001,All ages,4.6
all overdoses,0,age_adjusted,gender,Female,2.2,2002,All ages,5.8
all overdoses,0,age_adjusted,gender,Female,2.2,2003,All ages,6.4
all overdoses,0,age_adjusted,gender,Female,2.2,2004,All ages,6.9
all overdoses,0,age_adjusted,gender,Female,2.2,2005,All ages,7.3
all overdoses,0,age_adjusted,gender,Female,2.2,2006,All ages,8.2
all overdoses,0,age_adjusted,gender,Female,2.2,2007,All ages,8.8
all overdoses,0,age_adjusted,gender,Female,2.2,2008,All ages,8.9
all overdoses,0,age_adjusted,gender,Female,2.2,2009,All ages,9.1
all overdoses,0,age_adjusted,gender,Female,2.2,2010,All ages,9.6
all overdoses,0,age_adjusted,gender,Female,2.2,2011,All ages,10.2
all overdoses,0,age_adjusted,gender,Female,2.2,2012,All ages,10.2
all overdoses,0,age_adjusted,gender,Female,2.2,2013,All ages,10.6
all overdoses,0,age_adjusted,gender,Female,2.2,2014,All ages,11.1
all overdoses,0,age_adjusted,gender,Female,2.2,2015,All ages,11.8
all overdoses,0,age_adjusted,gender,Female,2.2,2016,All ages,13.4
all overdoses,0,age_adjusted,gender,Female,2.2,2017,All ages,14.4
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,1999,All ages,8.1
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2000,All ages,8.4
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2001,All ages,9.2
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2002,All ages,11.1
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2003,All ages,12.2
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2004,All ages,12.6
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2005,All ages,13.6
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2006,All ages,15.7
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2007,All ages,16.3
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2008,All ages,16.5
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2009,All ages,16.4
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2010,All ages,16.8
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2011,All ages,18.1
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2012,All ages,18.1
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2013,All ages,19.0
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2014,All ages,20.4
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2015,All ages,23.2
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2016,All ages,28.8
