practice_name,address,city,state,zip,medicare_date,phone_number
BAART BEHAVIORAL HEALTH SERVICES IN,617 COMSTOCK RD,Berlin,Vermont,05602-8498,1/1/2020,8022232003
AMS OF WISCONSIN LLC,9532 E 16 FRONTAGE RD,Onalaska,Wisconsin,54650-6742,1/1/2020,9202322332
BHG XLII LLC,5715 PRINCESS ANNE RD,Virginia Beach,Virginia,23462-3222,1/1/2020,7579620748
RTS EDGEWOOD,2205 PULASKI HIGHWAY,Edgewood,Maryland,21040,10/13/2020,4434569001
METRO TREATMENT OF FLORIDA LP,"1241 BLANDING BLVD, STE 5",Orange Park,Florida,32065-5908,1/1/2020,9046700820
"PREMIER CARE OF OHIO, LLC",2632 WOODMAN CENTER CT,Kettering,Ohio,45420-1477,1/1/2020,9377397100
AFFINITY HEALTHCARE GROUP CHERRY HI,1305 KINGS HWY N,Cherry Hill,New Jersey,08034-1919,9/8/2022,8566517826
WEST TEXAS COUNSELING & REHABILITAT,1108 DOBIE DR STE 102,Plano,Texas,75074-5391,1/1/2020,9725162900
ALLIANCE RECOVERY CENTER,1116 E PONCE DE LEON AVE,Decatur,Georgia,30030-2711,1/1/2020,4043777669
ALLIANCE RECOVERY CENTER,119 SYCAMORE DR,Athens,Georgia,30606-3462,1/1/2020,7068502121
ALLIANCE RECOVERY CENTER,3430 HIGHWAY 20 SE,Conyers,Georgia,30013-2868,1/1/2020,7709224482
WESTERN PACIFIC MED-CORP,955 E THOMPSON BLVD,Ventura,California,93001-3008,1/1/2020,8056419100
SOUTHEASTERN COUNCIL ON ALCOHOLISM,47 COIT ST,New London,Connecticut,06320-5924,10/26/2022,8604471717
RICHMOND TREATMENT CENTER LLC,4265 S A ST,Richmond,Indiana,47374-6049,1/1/2020,7659628843
AEGIS TREATMENT CENTERS LLC,115 E FESLER ST,Santa Maria,California,93454-4404,1/1/2020,8059226597
WCHS INC,2009 NE 117TH ST,Vancouver,Washington,98686-4022,1/1/2020,3605669112
BAART BEHAVIORAL HEALTH SERVICES IN,1097 HOSPITAL DR,St Johnsbury,Vermont,05819-9242,1/1/2020,8027486166
EAST INDIANA LLC,816 RUDOLPH WAY,Greendale,Indiana,47025-8312,1/1/2020,8125371668
DISCOVERY HOUSE BC LLC,3438 ROUTE 764,Duncansville,Pennsylvania,16635-7803,1/1/2020,8149447000
MONTEFIORE MOUNT VERNON HOSPITAL,3 S 6TH AVE,Mount Vernon,New York,10550-3197,2/7/2021,9146648000
DENVER RECOVERY GROUP LLC,5330 MANHATTAN CIR,Boulder,Colorado,80303-4240,1/1/2020,7205365571
INTEGRATED CARE CLINICIANS LLC,989 UNIVERSITY DR,Pontiac,Michigan,48342-1885,5/12/2022,2488181249
COMMUNITY MEDICAL SERVICES,3155 N WINDSONG DR,Prescott Valley,Arizona,86314-2219,1/1/2020,9289687400
COMMUNITY MEDICAL SERVICES ARIZONA-,10689 N 99TH AVE,Peoria,Arizona,85345-5402,1/1/2020,6232331333
ADDICTION SERVICES AND PHARMACOTHER,11390 W THEODORE TRECKER WAY,West Allis,Wisconsin,53214-1135,4/2/2020,4149281401
METROPOLITAN HOSPITAL CENTER,"1900 SECOND AVE, 99TH ST",New York,New York,10029-7494,3/6/2021,2124237722
AEGIS TREATMENT CENTERS LLC,1050 N GAREY AVE,Pomona,California,91767-3802,1/1/2020,9096236391
"HABIT OPCO, LLC",10 EMBANKMENT ST,Lawrence,Massachusetts,01841-4731,1/1/2020,9786876300
"HABIT OPCO, LLC",11 CIRCLE AVE,Lynn,Massachusetts,01905-3050,1/1/2020,7815952413
"HABIT OPCO, LLC",118 MONAHAN AVE,Dunmore,Pennsylvania,18512-1700,1/1/2020,5703440183
"HABIT OPCO, LLC",155 AIRPORT RD,Fitchburg,Massachusetts,01420-8142,1/1/2020,9783436300
"HABIT OPCO, LLC",180 CENTRE ST,Brockton,Massachusetts,02302-2733,1/1/2020,5085866300
"HABIT OPCO, LLC",22 FRONT ST,Fall River,Massachusetts,02721-4302,1/1/2020,5086761307
"HABIT OPCO, LLC",22 OLDE CANAL DR,Lowell,Massachusetts,01851-2730,1/1/2020,9784525155
"HABIT OPCO, LLC",2970 CORPORATE CT STE 1,Orefield,Pennsylvania,18069-3158,1/1/2020,6104810444
"HABIT OPCO, LLC",301 CIRCLE OF PROGRESS DR,Pottstown,Pennsylvania,19464-3811,1/1/2020,6109705410
"HABIT OPCO, LLC",31A WORKSHOP RD,South Yarmouth,Massachusetts,02664-1210,1/1/2020,5083985155
"HABIT OPCO, LLC",511 E COLUMBUS AVE,Springfield,Massachusetts,01105-2506,1/1/2020,4137333488
"HABIT OPCO, LLC",66 MAIN ST,Taunton,Massachusetts,02780-2777,1/1/2020,5088801598
"HABIT OPCO, LLC",759 SUSQUEHANNA TRL,Watsontown,Pennsylvania,17777-8109,1/1/2020,5705381240
"HABIT OPCO, LLC",99 TOPEKA ST,Boston,Massachusetts,02118-2717,1/1/2020,6174421499
METRO EAST DRUG TREATMENT,13929 HARPER AVE,Detroit,Michigan,48213-3672,1/1/2020,3133710055
COPE COMMUNITY SERVICES INC,5401 E 5TH ST,Tucson,Arizona,85711-2333,1/1/2020,5208796680
COPE COMMUNITY SERVICES INC,5840 N LA CHOLLA BLVD,Tucson,Arizona,85741-3537,1/1/2020,5204983900
NEW AGE SERVICES CORP,1330 S KOSTNER AVE,Chicago,Illinois,60623-1152,2/28/2020,7735421150
SOAR CORP,9150 MARSHALL ST,Philadelphia,Pennsylvania,19114-2217,7/8/2022,2154644450
NEW VISTA OF THE BLUEGRASS INC,201 MECHANIC ST,Lexington,Kentucky,40507-1086,1/1/2020,8599776080
SPECIALIZED TREATMENT SERVICES INC,7472 LAKELAND AVE N,Brooklyn Park,Minnesota,55428-1229,5/1/2020,7637775000
COMMUNITY MEDICAL SERVICES MONTANA,2415 S CATLIN ST,Missoula,Montana,59801-7822,1/1/2020,4065490114
"METRO TREATMENT OF VIRGINA, LP",30 BAXTER DR,Harrisonburg,Virginia,22801-7632,1/1/2020,5409083917
"METRO TREATMENT OF VIRGINIA, LP",30 BAXTER DR,Harrisonburg,Virginia,22801-7632,1/1/2020,5409083917
"ATS OF NORTH CAROLINA, LLC",1617 S HAWTHORNE RD,Winston Salem,North Carolina,27103-4127,1/1/2020,3368426980
"TTC, LLC",1912 COMMERCE AVE,Cullman,Alabama,35055-6150,1/1/2020,2567395595
WINCHESTER COMPREHENSIVE TREATMENT,290 FRONT ROYAL PIKE,Winchester,Virginia,22602-7313,1/1/2020,5402816383
"PINNACLE TREATMENT CENTERS OH-XI, L",1479 3RD ST,Brilliant,Ohio,43913-1000,2/26/2021,7405982054
"GEORGIA TREATMENT CENTER, LLC",514 W. MAPLE STREERT,Cumming,Georgia,30040-2536,3/1/2020,4045457279
CORAS WELLNESS AND BEHAVIORAL HEALT,105 N FRONT ST STE A,Seaford,Delaware,19973-2707,12/7/2021,8338862277
CORAS WELLNESS AND BEHAVIORAL HEALT,315 OLD LANDING RD,Millsboro,Delaware,19966,12/7/2021,8338862277
CORAS WELLNESS AND BEHAVIORAL HEALT,320 N HIGH STREET EXTENDED,Smyrna,Delaware,19977-1183,12/7/2021,8338862277
CORAS WELLNESS AND BEHAVIORAL HEALT,3304 DRUMMOND PLZ,Newark,Delaware,19711-5710,12/7/2021,8338862277
CORAS WELLNESS AND BEHAVIORAL HEALT,590 NAAMANS RD,Claymont,Delaware,19703-2308,12/7/2021,8338862277
CORAS WELLNESS AND BEHAVIORIAL HEAL,1114 S DUPONT HWY,Dover,Delaware,19901-4401,12/7/2021,8338862277
CROUSE HEALTH HOSPITAL INC,2775 ERIE BLVD E,Syracuse,New York,13224-1203,1/19/2020,3154708334
NARDIN PARK RECOVERY INC,9605 GRAND RIVER AVE,Detroit,Michigan,48204-2139,1/1/2020,3138345930
ADULT REHABILITATION SERVICES INC,6612 HORNWOOD DR,Houston,Texas,77074-5031,1/1/2020,7135414422
THE JOURNEY TO HOPE HEALTH & HEALIN,160 NARRAGANSETT AVE,Providence,Rhode Island,02907-3367,1/1/2020,4019414488
THE JOURNEY TO HOPE HEALTH & HEALIN,26 VALLEY RD,Middletown,Rhode Island,02842-6371,1/1/2020,4015524673
THE JOURNEY TO HOPE HEALTH & HEALIN,86 BEACH ST,Westerly,Rhode Island,02891-2718,1/1/2020,4015960969
THE JOURNEY TO HOPE HEALTH & HEALIN,985 PLAINFIELD ST,Johnston,Rhode Island,02919-6703,1/1/2020,4019460650
COUNTY OF NASSAU COUNTY CONTROLLER,2201 HEMPSTEAD TPKE,East Meadow,New York,11554-1859,1/22/2020,5165725906
METRO TREATMENT OF ALABAMA LP,2227 DRAKE AVE SW,Huntsville,Alabama,35805-5146,1/1/2020,2059411799
HUMAN RESOURCES DEVELOPMENT INSTITU,340 E 51ST ST,Chicago,Illinois,60615-3509,4/2/2020,7739660333
GALENA CLINIC INC,939 GALENA SQUARE DR,Galena,Illinois,61036-1355,4/26/2020,8157771300
"ORGANIZATION FOR RECOVERY, INC.",519 NORTH AVE,Plainfield,New Jersey,07060-1416,1/5/2020,9087694700x2010
LINCOLN TREATMENT CENTER LLC,4305 O ST,Lincoln,Nebraska,68510-1754,12/7/2022,4024882122
CENTERSTONE OF ILLINOIS INC,2615 EDWARDS ST,Alton,Illinois,62002-3915,1/8/2020,6184622331
EAST TENNESSEE HEALTHCARE,203 GRAY COMMONS CIR,Gray,Tennessee,37615-5407,1/1/2020,4234672800
BHG JACKSON TREATMENT CENTER,794 MCDONOUGH RD,Jackson,Georgia,30233-1572,1/1/2020,7707759044
"HABIT OPCO, LLC",254 PLAINFIELD RD,West Lebanon,New Hampshire,03784-2001,1/1/2020,6032982146
SYMETRIA HEALTH OF TEXAS LLC,1813 HARWOOD CT,Hurst,Texas,76054-3190,7/1/2021,8173454610
KINGS COUNTY HOSPITAL CENTER,591 KINGSTON AVE,Brooklyn,New York,11203-1707,1/1/2020,7182452985
THE WEST OAKLAND HEALTH COUNCIL,700 ADELINE ST,Oakland,California,94607-2608,3/1/2020,5108359610
DUANE DEAN BEHAVIORAL HEALTH CENTER,700 E COURT ST,Kankakee,Illinois,60901-4131,1/7/2020,8159390125
AEGIS TREATMENT CENTERS LLC,501 W COLUMBUS ST,Bakersfield,California,93301-1263,1/1/2020,6613280245
BAKERSFIELD TRUXTON,6001 TRUXTUN AVE,Bakersfield,California,93309-0679,1/1/2020,6612182108
COUNTY OF STANISLAUS,800 SCENIC DR,Modesto,California,95350-6131,1/1/2020,2095256225
"CHEMICAL ABUSE SERVICES AGENCY, INC",426 EAST ST,New Haven,Connecticut,06511-5018,1/1/2020,2034957710
TACOMA PIERCE COUNTY HEALTH DEPT,3629 S D ST,Tacoma,Washington,98418-6813,1/1/2020,2537986576
CODAC INC,93 THAMES ST,Newport,Rhode Island,02840-2536,3/1/2020,4018464150
PREMIER SERVICES OF MICHIGAN LLC,25639 FORD RD,Dearborn Heights,Michigan,48127-4817,1/1/2020,3132773293
"PA CARE, LLC",3091 ENTERPRISE DR,State College,Pennsylvania,16801-3099,1/1/2020,8142356988
METRO TREATMENT OF MO LP,760 S KINGSHIGHWAY,Cape Girardeau,Missouri,63703-7676,3/10/2023,5733354333
HEALTHQWEST FRONTIERS,890 BURRUS RD,Macon,Georgia,31204-1441,1/1/2020,4783307164
"PREMIER CARE OF OHIO, LLC",1380 DUBLIN RD,Columbus,Ohio,43215-1025,1/1/2020,6144887117
"OHIO TREATMENT CENTER, LLC",8101 EUCLID AVE,Cleveland,Ohio,44103-5059,3/20/2020,2162200035
"HABIT OPCO, LLC",20 MARKET ST,Manchester,New Hampshire,03101-1957,1/1/2020,6036224747
"PINNACLE TREATMENT CENTERS OH-VI, L",5122 GLENCROSSING WAY,Cincinnati,Ohio,45238-3361,1/1/2020,5138279044
SOAR CORP,7500 BRISTOL PIKE,Levittown,Pennsylvania,19057-5010,7/8/2022,2154644450
"MONMOUTH HEALTHCARE SERVICES, LLC",495 JACK MARTIN BLVD,Brick,New Jersey,08724-7778,5/22/2021,7323440596
SUNRISE TREATMENT CENTER,100 HIGHVIEW BLVD,Columbus,Ohio,43207-6023,1/1/2020,5139414999
RISAT LLC,1625 DIAMOND HILL RD,Woonsocket,Rhode Island,02895-1771,1/1/2020,4017621511
TRANSCULTURAL HEALTH DEVELOPMENT IN,117 E HARRY BRIDGES BLVD,Wilmington,California,90744-5825,1/1/2020,3105498383
THERAPEUTIC HEALTH SERVICES,1305 SENECA ST,Seattle,Washington,98101-2828,3/27/2023,2063230930
ADDICTION RESEARCH AND TREATMENT IN,433 TURK ST,San Francisco,California,94102-3329,1/1/2020,4159287800
ADDICTION RESEARCH AND TREATMENT IN,2158 SOLANO WAY,Concord,California,94520-4700,1/1/2020,3232420500
COMMUNITY MEDICAL SERVICES ARIZONA-,5002 W GLENDALE AVE,Glendale,Arizona,85301-2756,1/1/2020,6232331099
ADDICTION RECOVERY INSTITUTE,31 N UNION ST,Pawtucket,Rhode Island,02860-2915,1/1/2020,4017252520x12
NEW HORIZONS TREATMENT CENTER INC,36 CHATEAU CT SE,Rome,Georgia,30161-7264,1/1/2020,7062339603
AUSTIN TRAVIS COUNTY MENTAL HEALTH,1631 E 2ND ST STE A,Austin,Texas,78702-4491,1/1/2020,5128043380
WINCHESTER HEALTH LLC,1315 BLOOMINGDALE RD,Baltimore,Maryland,21216-3922,1/1/2020,4106247111
BAYMARK HEALTH SERVICES OF LOUISIAN,648 LATIOLAIS DR,Breaux Bridge,Louisiana,70517-4231,7/7/2020,3373324878
COLORADO TREATMENT SERVICES LLC,3400 W 16TH ST,Greeley,Colorado,80634-6871,6/13/2020,9709784386
DISCOVERY HOUSE WC INC,11 NORTH ST,Presque Isle,Maine,4769,1/1/2020,2077073001
COMMUNITY MEDICAL SERVICES ARIZONA,1500 E WOOLFORD RD,Show Low,Arizona,85901-7105,1/1/2020,9282512030
"PREMIER CARE OF OHIO, LLC",5 SEVERANCE CIR,Cleveland Heights,Ohio,44118-1513,1/1/2020,2168598300
HERITAGE BEHAVIORAL HEALTH CENTER,151 N MAIN ST,Decatur,Illinois,62523-1206,4/17/2021,2173626262
ELMHURST HOSPITAL CENTER,79-01 BROADWAY,Elmhurst,New York,11373-1329,2/13/2021,7183344000
MONTEFIORE MEDICAL CENTER,1510 WATERS PL,Bronx,New York,10461-2700,5/12/2021,7188293440
MONTEFIORE MEDICAL CENTER,2058 JEROME AVE,Bronx,New York,10453-1817,5/12/2021,7185830600
MONTEFIORE MEDICAL CENTER,260 EAST 161ST STREET,Bronx,New York,10451-3512,5/12/2021,7189933397
MONTEFIORE MEDICAL CENTER,3550 JEROME AVE,Bronx,New York,10467-1005,5/12/2021,7189204067
MONTEFIORE MEDICAL CENTER,804 E 138TH ST,Bronx,New York,10454-1932,5/12/2021,7186657500
SOUTHSIDE TREATMENT CENTER,9609 JEFFERSON DAVIS HWY,Richmond,Virginia,23237-4621,1/1/2020,8042751116
"PINNACLE TREATMENT CENTERS PA-II, L",739 ENSIGN AVE,Pittsburgh,Pennsylvania,15226-1105,1/1/2020,4124886360
"LOWER EASTSIDE SERVICE CENTER, INC.",46 E BROADWAY,New York,New York,10002-6803,1/1/2020,2123433520
"LOWER EASTSIDE SERVICE CENTER, INC.",62 E BROADWAY,New York,New York,10002-6844,1/1/2020,2123433520
PREMIER SERVICES OF MICHIGAN LLC,34208 VAN DYKE AVE,Sterling Heights,Michigan,48312-4647,1/1/2020,5867586670
"BH HEALTH SERVICES, INC.",450 E MAIN ST,Westminster,Maryland,21157-5540,1/1/2020,4108713005
ICAN COMMUNITY SERVICES INC NFP,15475 S PARK AVE,South Holland,Illinois,60473-1377,7/14/2021,7085965680
"GPA TREATMENT, INC",4255 CHAMBLEE TUCKER RD,Doraville,Georgia,30340-4501,1/1/2020,7704931922
"GEORGETOWN MEDICAL, LLC",105 EASTSIDE DR,Georgetown,Kentucky,40324-9797,7/6/2022,5025709313
BHG XLII. LLC,1333 CARRSVILLE HWY,Franklin,Virginia,23851-3916,1/1/2020,7573049857
ADDICTION MEDICAL FACILITY LLC,1309 BRIDGEVILLE HWY,Seaford,Delaware,19973-1616,2/7/2020,3026292300x1017
REDEEM HEALTHCARE AND MEDICAL SYSTE,917 N CAROLINE ST,Baltimore,Maryland,21205-1000,7/15/2020,4105221030
SYMETRIA HEALTH OF TEXAS LLC,7229 HAWKINS VIEW DRIVE,Fort Worth,Texas,76132-3921,7/1/2021,6823504444
BAYMARK HEALTH SERVICES OF OHIO,530 N LEAVITT RD,Amherst,Ohio,44001-1131,10/1/2020,4403284213
BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,New York,New York,10016-9196,1/1/2020,2125626172
CENTER FOR COMPREHENSIVE HEALTH PRA,1900 2ND AVE,New York,New York,10029-7406,3/1/2020,2123617824
CONNECTICUT COUNSELING CENTERS INC,20 N MAIN ST,Norwalk,Connecticut,06854-2720,1/1/2020,2038386508
"APT FOUNDATION, INC",352 STATE ST,North Haven,Connecticut,06473-3108,1/1/2020,2037814600x1703
CONCOURSE MEDICAL CENTER INC.,880 MORRIS AVE,Bronx,New York,10451-3412,1/1/2020,7186659340x118
VCPHCS X LLC,850 23RD AVE STE A,Longmont,Colorado,80501-1115,1/1/2020,3032450123
MCLEOD ADDICTIVE DISEASE CENTER INC,2208 W ROOSEVELT BLVD,Monroe,North Carolina,28110-2762,1/4/2020,7042899869
