clinic_name,clinician_name,role,measure_id,measure_name,num,den,collection_type,measure_type,high_priority,national_avg,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,decile_10,topped_out
Le Cordon Bleu,Allspice,MD,236,Controlling High Blood Pressure,291,395,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Le Cordon Bleu,Angelica,MD,236,Controlling High Blood Pressure,210,274,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Le Cordon Bleu,Anise,PA,236,Controlling High Blood Pressure,80,139,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Le Cordon Bleu,Bay,MD,236,Controlling High Blood Pressure,211,263,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Le Cordon Bleu,Basil,NP,236,Controlling High Blood Pressure,87,115,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Le Cordon Bleu,Barberry,NP,236,Controlling High Blood Pressure,85,110,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Le Cordon Bleu,Bergamot,MD,236,Controlling High Blood Pressure,113,162,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Le Cordon Bleu,Borage,MD,236,Controlling High Blood Pressure,108,142,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Institute,Caper,MD,236,Controlling High Blood Pressure,308,352,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Institute,Caraway,MD,236,Controlling High Blood Pressure,114,160,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Institute,Cardamom,NP,236,Controlling High Blood Pressure,353,518,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Institute,Cassia,NP,236,Controlling High Blood Pressure,138,203,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
